behavior,Qp1,Qp2,evidence,arbitration,subject
0,0.43533,-0.028035,-0.1753,0.79666,1
1,0.44,-0.032897,-0.32573,0.85964,1
0,0.42489,-0.067811,0.34156,0.76527,1
1,0.37551,-0.051511,-1.6546,0.71139,1
0,0.31587,-0.083423,-1.4959,0.61163,1
1,0.26357,-0.13588,-0.47733,0.50548,1
1,0.20801,-0.085099,-0.66354,0.51731,1
0,0.17818,-0.13625,0.34922,0.45078,1
0,0.12718,-0.15714,-1.554,0.38292,1
1,0.069419,-0.14856,-2.2559,0.27964,1
0,0.010861,-0.14272,-2.3847,0.17309,1
0,-0.024206,-0.15464,-1.2551,0.099942,1
0,-0.054888,-0.1499,-1.3409,-0.0098865,1
0,-0.081299,-0.15031,-1.3295,-0.11287,1
0,-0.095462,-0.1482,-0.79297,-0.22526,1
0,-0.14739,-0.19266,-0.7479,-0.19274,1
0,-0.17831,-0.13034,0.70572,-0.24161,1
0,-0.19687,-0.089769,0.40952,-0.28985,1
0,-0.19876,-0.028882,1.7823,-0.26975,1
0,-0.17286,0.027894,0.703,-0.20722,1
1,-0.14418,0.075639,0.27218,-0.1474,1
1,-0.10932,0.10956,-0.46165,-0.090209,1
1,-0.11119,0.08726,0.40521,0.066793,1
1,-0.10724,0.059259,0.52797,0.091909,1
0,-0.077961,0.03702,-0.66153,0.11611,1
0,-0.086433,0.0015325,0.61975,0.21311,1
1,-0.12357,-0.054403,0.236,0.30321,1
1,-0.15512,-0.074921,-0.81116,0.38674,1
0,-0.15001,-0.12131,1.1398,0.37854,1
0,-0.1358,-0.14259,-0.11067,0.3705,1
0,-0.11733,-0.1608,-0.38549,0.36264,1
1,-0.10628,-0.14206,-0.078514,0.28661,1
0,-0.089745,-0.17286,0.13891,0.27878,1
0,-0.084041,-0.12992,0.99349,0.3974,1
0,-0.086576,-0.16103,0.6943,0.282,1
0,-0.060153,-0.10205,0.76116,0.20921,1
1,-0.012466,-0.071024,-1.063,0.13567,1
0,0.040906,-0.053383,-1.7619,0.061595,1
0,0.09288,-0.042491,-1.9485,-0.01281,1
1,0.1146,-0.079669,0.16532,0.060853,1
1,0.16002,-0.047969,-0.95101,0.024352,1
1,0.1823,0.00050543,0.54719,-0.011708,1
1,-0.080815,-0.066891,0.041006,-1.0891,1
0,-0.11464,-0.020436,0.026475,-1.0383,1
1,-0.16028,-0.061964,-0.6089,-0.98599,1
0,-0.2082,-0.018153,-0.61563,-0.87948,1
0,-0.23406,-0.020759,-1.2299,-0.81384,1
1,-0.24769,-0.020782,-0.84685,-0.79471,1
0,-0.25865,-0.019546,-0.69988,-0.77898,1
0,-0.30284,-0.0019959,-1.4082,-0.65406,1
0,-0.32622,-0.021372,-0.53483,-0.50248,1
1,-0.36748,-0.033953,-1.472,-0.35875,1
0,-0.4146,-0.032373,-2.0922,-0.26761,1
1,-0.4547,-0.020774,-1.462,-0.1041,1
0,-0.46948,-0.038401,-0.26316,0.079243,1
0,-0.4781,-0.0040096,0.57494,0.1541,1
1,-0.48418,-0.027106,0.27021,0.31003,1
1,-0.45543,0.0057325,-0.26258,0.15834,1
0,-0.43206,0.046513,0.22984,-0.00060837,1
1,-0.39081,0.044728,-1.8571,-0.12792,1
1,-0.34833,0.05808,-1.4919,-0.20554,1
1,-0.31505,0.078627,-0.87746,-0.28285,1
0,-0.26185,0.087318,-2.0751,-0.35966,1
0,-0.2031,0.030393,-0.56814,-0.33776,1
0,-0.15398,-0.012466,-0.69628,-0.31655,1
1,-0.13041,-0.052945,0.21157,-0.296,1
1,-0.16293,-0.028232,-0.69936,-0.20801,1
1,-0.18767,-0.01297,-0.73427,-0.12442,1
1,-0.221,-0.0018789,-1.2172,-0.12686,1
1,-0.23035,-0.04012,0.68404,-0.16826,1
0,-0.26026,-0.061013,-0.73404,-0.20908,1
1,-0.30787,-0.032317,-1.1433,-0.15003,1
0,-0.33459,-0.035809,-1.2315,-0.14128,1
1,-0.36754,-0.065617,-0.53414,0.0092319,1
1,-0.38692,-0.058177,-0.80538,0.13772,1
1,-0.39885,-0.050932,-0.52323,0.25596,1
0,-0.39661,-0.057709,-0.16339,0.36027,1
0,-0.37131,-0.041674,-0.72851,0.2162,1
1,-0.32472,-0.071329,-1.0696,0.11404,1
0,-0.27472,-0.031045,-0.82221,-0.0022727,1
0,-0.23991,-0.076067,-0.063369,-0.062388,1
1,-0.20369,-0.10231,-0.78841,-0.12219,1
0,-0.1846,-0.088875,-0.58028,-0.16291,1
0,-0.17179,-0.12861,0.60283,-0.20595,1
1,-0.17087,-0.12581,-0.25383,-0.18519,1
0,-0.13646,-0.12308,-1.5575,-0.21858,1
0,-0.078687,-0.07138,-0.71693,-0.20401,1
0,-0.024736,-0.093969,-1.6077,-0.22986,1
1,0.0012225,-0.090816,-1.2141,-0.17045,1
1,0.033435,-0.087746,-1.46,-0.11362,1
0,0.035912,-0.082242,-0.2179,-0.059283,1
1,0.026769,-0.091971,-0.32603,-0.11218,1
0,-0.0087152,-0.13414,-0.19113,-0.14304,1
1,-0.046736,-0.17269,-0.41895,-0.17338,1
0,-0.068738,-0.20017,-0.19182,-0.2032,1
0,-0.055495,-0.21058,-0.4609,-0.19649,1
1,-0.046066,-0.19935,-0.28331,-0.16827,1
0,-0.056529,-0.18463,-0.1993,-0.066798,1
1,-0.059785,-0.1791,-0.24731,-0.07206,1
0,-0.050243,-0.17875,-0.6763,-0.16233,1
