behavior,Qp1,Qp2,evidence,arbitration,subject
1,0.38018,-0.014346,0.79032,0.76031,1
0,-0.11121,0.53615,-0.32063,0.76031,1
1,0.6065,-0.46633,-0.092353,0.76759,1
0,1.6538,0.9674,-0.0029828,0.78654,1
1,1.8979,-0.3227,0.75057,0.8165,1
1,1.2076,-0.054169,-0.84722,0.82996,1
1,0.51242,-1.5635,0.47572,0.83449,1
1,0.47981,0.29894,1.6022,0.84391,1
1,1.8039,-0.35406,-1.1514,0.84338,1
0,-1.2603,-1.314,-0.35497,-1.6354,1
0,-0.071215,-0.6354,-0.9715,-1.6354,1
0,-0.60024,-0.68582,-0.89854,-1.7046,1
1,0.31064,0.29898,-0.32947,-1.7013,1
0,1.562,-0.23066,-1.2014,-1.7015,1
0,1.7377,-0.13212,-0.44789,-1.5176,1
0,0.81021,0.69515,-0.51686,-1.4141,1
0,-0.013059,-0.70566,0.21489,-1.346,1
1,0.02629,-0.68912,-0.38171,-1.3455,1
0,-1.2974,0.79241,-0.26398,-1.2683,1
0,-1.9444,-0.4543,0.2491,-1.0545,1
0,-1.4679,-0.88299,-0.43421,-1.0573,1
0,-1.5235,-1.5201,0.26431,-1.0568,1
0,-0.20053,-1.6734,-1.6852,-1.0568,1
0,-0.84023,-1.9274,-0.80562,-1.0568,1
0,-1.65,-1.6102,-0.93009,-1.0568,1
0,-1.61,-1.7599,-0.23991,-1.0568,1
0,-1.6471,-0.86198,0.56443,-1.0568,1
0,-1.103,-0.44966,-0.52809,-1.0568,1
1,0.1311,-0.14239,-1.42,-1.0568,1
1,-0.39581,1.106,0.38644,-1.0576,1
1,-1.0833,0.54758,-0.53368,-1.0592,1
1,-1.5055,0.27459,-0.53951,-0.96069,1
1,-0.51158,0.5497,-1.183,-0.94113,1
0,-0.81584,-0.30116,0.21234,-0.85153,1
0,-1.0251,-1.0403,0.2001,-0.84646,1
1,0.3297,-1.1984,-1.716,-0.84644,1
1,-0.9713,1.3032,0.85388,-0.75603,1
1,-1.6172,1.0916,-0.85785,-0.76383,1
0,-1.9204,-1.921,2.528,-0.48073,1
0,-1.9736,-1.651,-0.12603,-0.47801,1
0,-1.0794,-1.6384,-1.3515,-0.4786,1
0,-1.7002,0.99467,1.7628,-0.27251,1
0,-0.75464,-1.1441,0.86681,-0.12668,1
0,-0.6323,-1.6146,0.01062,-0.12701,1
1,0.15319,-1.7601,-1.0865,-0.12713,1
1,1.1257,0.45424,0.91724,-0.069691,1
1,0.89846,0.84606,-0.1922,-0.064009,1
1,1.1997,-0.36952,0.60623,-0.064275,1
1,1.4867,-0.54995,-0.48603,0.003088,1
0,0.018683,-0.43502,-1.8902,-0.034883,1
0,-0.75197,0.31075,-0.427,-0.038338,1
